Date,Open,High,Low,Close,Adj Close,Volume
7/7/2015,37.720001,37.810001,36,36.619999,36.619999,7359000
7/8/2015,36.34,36.360001,34.529999,34.700001,34.700001,5387700
7/9/2015,35.099998,35.52,33.990002,34.5,34.5,3760100
7/10/2015,34.66,35.189999,33.98,34.689999,34.689999,4472800
7/13/2015,35.59,37.5,35.5,36.779999,36.779999,7626000
7/14/2015,36.990002,37.740002,36.599998,36.93,36.93,4653300
7/15/2015,37.98,38.200001,37.029999,37.509998,37.509998,13072800
7/16/2015,38.82,39.970001,38.080002,38.630001,38.630001,21348500
7/17/2015,39.419998,40.200001,38.18,38.389999,38.389999,45720200
7/20/2015,41.459999,42.549999,39.799999,40.470001,40.470001,52286500
7/21/2015,41.080002,41.110001,39.119999,39.349998,39.349998,32954600
7/22/2015,39.349998,39.720001,38.099998,38.389999,38.389999,25363900
7/23/2015,38.740002,38.75,36.93,37.009998,37.009998,19250200
7/24/2015,37.709999,38,36.91,37,37,14274300
7/27/2015,36.779999,37.380001,36.220001,36.389999,36.389999,16179900
7/28/2015,37.189999,38,36.830002,37.599998,37.599998,18986000
7/29/2015,38.029999,38.099998,37.619999,37.950001,37.950001,11788400
7/30/2015,38.040001,39.009998,37.715,38.450001,38.450001,13845100
7/31/2015,39.139999,39.200001,38.220001,38.700001,38.700001,12480600
8/3/2015,39.25,39.880001,38.900002,39.389999,39.389999,15126600
8/4/2015,39.91,39.91,38.43,38.950001,38.950001,10992200
8/5/2015,39.700001,39.880001,39.169998,39.27,39.27,9463100
8/6/2015,39.630001,39.740002,38.549999,38.849998,38.849998,7324100
8/7/2015,39.040001,39.23,38.599998,39.130001,39.130001,8331300
8/10/2015,39.43,39.689999,38.77,39.049999,39.049999,7998900
8/11/2015,38.93,39.279999,38.720001,38.849998,38.849998,8184000
8/12/2015,38.549999,38.580002,37.009998,38.189999,38.189999,21350600
8/13/2015,38.400002,38.490002,37.439999,37.619999,37.619999,7863500
8/14/2015,37.490002,38.18,37.380001,38.139999,38.139999,6271100
8/17/2015,38.299999,38.75,37.700001,38.73,38.73,4931700
8/18/2015,39,39,37.869999,37.990002,37.990002,4678800
8/19/2015,37.869999,38.099998,37.029999,37.189999,37.189999,6923400
8/20/2015,36.849998,37.34,35.880001,35.98,35.98,10645700
8/21/2015,35.57,36.110001,33.830002,34.25,34.25,16824100
8/24/2015,31.17,34.849998,30,33.75,33.75,19676600
8/25/2015,35.439999,35.459999,32.700001,32.700001,32.700001,15557100
8/26/2015,33.700001,33.84,31.709999,33.169998,33.169998,25350400
8/27/2015,33.869999,34.77,33.16,34.619999,34.619999,18909600
8/28/2015,34.509998,35.259998,34.369999,35.040001,35.040001,8344800
8/31/2015,35.5,35.509998,34.77,35,35,12123800
9/1/2015,34.150002,34.68,33.41,33.77,33.77,13376000
9/2/2015,34.599998,35.080002,33.834999,35.07,35.07,7521000
9/3/2015,35.009998,35.459999,34.77,35.310001,35.310001,6683800
9/4/2015,34.709999,34.720001,33.779999,34.290001,34.290001,7483100
9/8/2015,34.810001,34.889999,34.25,34.700001,34.700001,7674500
9/9/2015,34.919998,34.950001,33.880001,34.369999,34.369999,10946900
9/10/2015,34.23,34.290001,32.950001,33.459999,33.459999,12134500
9/11/2015,33.27,33.59,32.610001,33.549999,33.549999,9184200
9/14/2015,33.700001,33.950001,33.200001,33.77,33.77,7897700
9/15/2015,33.720001,33.950001,32.669998,33.799999,33.799999,11874900
9/16/2015,33.459999,34.060001,33.360001,33.77,33.77,7183900
9/17/2015,33.720001,33.990002,33.080002,33.32,33.32,7846800
9/18/2015,32.900002,33.779999,32.549999,32.919998,32.919998,16488100
9/21/2015,33.66,34.619999,33.43,34.25,34.25,12736500
9/22/2015,33.939999,34.099998,33.189999,33.349998,33.349998,8538000
9/23/2015,33.490002,34.34,33.259998,34.16,34.16,5405500
9/24/2015,34,34.07,33.380001,33.91,33.91,6544500
9/25/2015,34.599998,34.689999,33.5,33.77,33.77,6566800
9/28/2015,33.68,33.68,32.154999,32.25,32.25,7407300
9/29/2015,32.27,32.669998,30.299999,30.629999,30.629999,12008100
9/30/2015,31.200001,31.280001,30.639999,31.040001,31.040001,13672000
10/1/2015,30.82,31.587,30.75,31.48,31.48,9657000
10/2/2015,30.82,32.860001,30.75,32.830002,32.830002,7609800
10/5/2015,32.950001,33.02,32.380001,32.669998,32.669998,6119100
10/6/2015,32.91,32.91,31.780001,31.860001,31.860001,7409800
10/7/2015,32.310001,32.471001,31.52,32.380001,32.380001,6969600
10/8/2015,32.439999,32.450001,31.09,31.67,31.67,9281500
10/9/2015,31.690001,32.450001,31.41,32.060001,32.060001,5911400
10/12/2015,32.189999,32.669998,32.099998,32.630001,32.630001,3915500
10/13/2015,32.599998,33.48,32.34,33.220001,33.220001,8787700
10/14/2015,33.400002,34.459999,33.400002,34.049999,34.049999,8198300
10/15/2015,34.450001,34.720001,34.16,34.619999,34.619999,9103200
10/16/2015,34.75,35.049999,33.950001,34.290001,34.290001,5390700
10/19/2015,34.43,34.904999,33.790001,34.84,34.84,5855700
10/20/2015,34.799999,34.990002,34.59,34.869999,34.869999,6084200
10/21/2015,34.75,34.799999,32.880001,33.830002,33.830002,9054500
10/22/2015,34.43,35.25,34.259998,34.790001,34.790001,8735500
10/23/2015,35.73,35.75,34.799999,34.990002,34.990002,8909100
10/26/2015,36.049999,36.59,35.514999,36.439999,36.439999,11554600
10/27/2015,36.389999,36.394001,35.310001,35.939999,35.939999,8502400
10/28/2015,36.209999,36.650002,35.810001,36.52,36.52,11634300
10/29/2015,34.73,36.5,34.5,35.91,35.91,25137300
10/30/2015,35.639999,36.490002,35.240002,36.009998,36.009998,13409200
11/2/2015,35.580002,37.41,35.450001,36.990002,36.990002,11254900
11/3/2015,37.049999,38.439999,37,37.900002,37.900002,12025200
