Date,Open,High,Low,Close,Adj Close,Volume
8/1/2015,39.25,39.91,30,35,35,246871400
9/1/2015,34.150002,35.459999,30.299999,31.040001,31.040001,199174100
10/1/2015,30.82,36.650002,30.75,36.009998,36.009998,197230400
11/1/2015,35.580002,38.52,34.5,35.259998,35.259998,197878100
12/1/2015,35.41,37.68,33.849998,36.200001,36.200001,156937600
1/1/2016,35.130001,36.259998,30.52,36.139999,36.139999,205399700
2/1/2016,35.650002,38.93,31.639999,38.139999,38.139999,248604000
3/1/2016,38.52,41.75,37,38.599998,38.599998,189313600
4/1/2016,38.509998,41.490002,37.34,39.18,39.18,154169300
5/1/2016,39.07,40.313999,37.310001,37.790001,37.790001,176555100
6/1/2016,37.810001,38.685001,34,36.509998,36.509998,187382500
7/1/2016,36.599998,40.450001,35.715,37.240002,37.240002,209911600
8/1/2016,37.43,38.650002,36.279999,37.150002,37.150002,139324900
9/1/2016,37.27,41.299999,36.299999,40.970001,40.970001,192932400
10/1/2016,40.869999,44.52,38.75,41.66,41.66,204950300
11/1/2016,41.68,42.294998,38.450001,39.279999,39.279999,183689800
12/1/2016,39.560001,40.740002,38.060001,39.470001,39.470001,115161500
1/1/2017,40.290001,42.5,39.419998,39.779999,39.779999,147980500
2/1/2017,39.959999,43.07,39.02,42,42,126124700
3/1/2017,42.310001,43.799999,41.740002,43.02,43.02,126880800
4/1/2017,43.200001,48.099998,42.060001,47.720001,47.720001,137436600
5/1/2017,47.389999,52.240002,47.32,52.209999,52.209999,170740600
6/1/2017,52.48,55.139999,50.830002,53.669998,53.669998,194091700
7/1/2017,54.139999,61.299999,52.830002,58.549999,58.549999,200636100
8/1/2017,59,62.028999,57.580002,61.68,61.68,137272000
9/1/2017,61.98,65.239998,60.580002,64.029999,64.029999,141785800
10/1/2017,64.5,72.739998,63.689999,72.559998,72.559998,216248200
11/1/2017,72.779999,79.385002,71.669998,75.730003,75.730003,186896000
12/1/2017,75.220001,76.440002,68.610001,73.620003,73.620003,170762000
1/1/2018,74.235001,86.32,73.43,85.32,85.32,180053300
2/1/2018,79.949997,82.169998,71.629997,79.410004,79.410004,247045700
3/1/2018,79.599998,83.989998,74.550003,75.870003,75.870003,181284000
4/1/2018,75.230003,80.889999,72.519997,74.610001,74.610001,164064100
5/1/2018,74.150002,83.059998,70.220001,82.07,82.07,189936600
6/1/2018,82.550003,87.550003,80.160004,83.269997,83.269997,160929900
7/1/2018,82.75,92.349998,81.300003,82.139999,82.139999,166503800
8/1/2018,82.239998,93.010002,82.010002,92.330002,92.330002,140098400
9/1/2018,91.940002,93.699997,87.389999,87.839996,87.839996,154501800
10/1/2018,88.129997,88.800003,74.660004,84.190002,84.190002,304186000
11/1/2018,84.18,89.059998,75.470001,85.809998,85.809998,161845700
12/1/2018,87.290001,88.839996,76.699997,84.089996,84.089996,180429800
1/1/2019,82.379997,94.580002,81.910004,88.760002,88.760002,204051600
2/1/2019,88.360001,98.525002,88.25,98.07,98.07,131894700
3/1/2019,98.919998,104.699997,94.510002,103.839996,103.839996,129775200
4/1/2019,104.989998,113.220001,102.650002,112.769997,112.769997,150534200
5/1/2019,113.209999,114.660004,106.519997,109.75,109.75,111140300
6/1/2019,111.089996,119.949997,103.959999,114.459999,114.459999,117080300
7/1/2019,116.720001,121.480003,108.769997,110.400002,110.400002,143109400
8/1/2019,110.449997,112.449997,102.209999,109.050003,109.050003,149205900
9/1/2019,107.919998,111.669998,101.099998,103.589996,103.589996,134941900
10/1/2019,104,108.459999,94.769997,104.099998,104.099998,165820000
11/1/2019,104.699997,108.389999,99.599998,108.010002,108.010002,136554400
12/1/2019,107.959999,110.18,103.260002,108.169998,108.169998,127889000
1/1/2020,109.470001,119.599998,107.440002,113.889999,113.889999,162176700
2/1/2020,114.300003,124.449997,103.720001,107.989998,107.989998,149101200
3/1/2020,107.459999,115.389999,82.07,95.739998,95.739998,279586500
4/1/2020,92.720001,124.029999,89.879997,123,123,198491000
5/1/2020,119.849998,155.330002,119.43,155.009995,155.009995,209230900
6/1/2020,154.899994,175.399994,150,174.229996,174.229996,158093500
7/1/2020,174.625,198.660004,164.330002,196.070007,196.070007,175097400
8/1/2020,198.25,207,186.520004,204.139999,204.139999,138675300
9/1/2020,205.589996,212.449997,171.630005,197.029999,197.029999,194125600
10/1/2020,199.259995,215.830002,182.919998,186.130005,186.130005,174182200
11/1/2020,189.009995,216.070007,174.809998,214.119995,214.119995,244344300
12/1/2020,217.149994,244.25,206.649994,234.199997,234.199997,158170300
1/1/2021,237.800003,254.389999,225,234.309998,234.309998,145846200
2/1/2021,238.369995,309.140015,235.399994,259.850006,259.850006,233954600
3/1/2021,268.894989,277.5,223.089996,242.839996,242.839996,213425400
4/1/2021,248.039993,277.859985,245.699997,262.290009,262.290009,133213000
5/1/2021,265.059998,265.799988,233.610001,260.019989,260.019989,156470200
6/1/2021,261.079987,296.01001,256.149994,291.480011,291.480011,131228000
7/1/2021,290.329987,310.160004,274.209991,275.529999,275.529999,134076000
8/1/2021,276.88501,292.649994,266.602997,288.660004,288.660004,134851500
9/1/2021,290.100006,296.700012,256.890015,260.209991,260.209991,118288800
10/1/2021,261.454987,273.51001,231.710007,232.589996,232.589996,250443900
11/1/2021,232.699997,233.550003,180.5,184.889999,184.889999,434862600
12/1/2021,187.770004,197.690002,179.149994,188.580002,188.580002,276431400
1/1/2022,191.410004,196.100006,152.080002,171.940002,171.940002,285485800
2/1/2022,172.770004,176.199997,94.5,111.93,111.93,671591400
3/1/2022,112.730003,122.809998,92.25,115.650002,115.650002,434443300
4/1/2022,116,122.917999,82.120003,87.93,87.93,372294900
5/1/2022,87.550003,92.849998,71.831001,85.209999,85.209999,380219000
6/1/2022,85.470001,89.32,67.580002,69.839996,69.839996,318416300
7/1/2022,69.839996,87.620003,68.510002,86.529999,86.529999,263032100
8/1/2022,87.050003,103.029999,85.269997,93.440002,93.440002,340392900
9/1/2022,92.251999,99.300003,84.129997,86.07,86.07,265398400
10/1/2022,87.529999,95.57,79.349998,83.580002,83.580002,275597700
11/1/2022,85,92.620003,71.167999,78.410004,78.410004,344025000
12/1/2022,79.110001,80.746002,66.385002,71.220001,71.220001,325143000
1/1/2023,73.690002,82.535004,73.379997,81.489998,81.489998,255378400
2/1/2023,81.339996,88.625,72.980003,73.599998,73.599998,288549100
3/1/2023,73.629997,79.264999,71.085999,75.940002,75.940002,276006500
4/1/2023,75.625,77.949997,71.029999,76,76,181555300
5/1/2023,76.029999,76.5,58.950001,61.990002,61.990002,491436900
6/1/2023,62.41,69.199997,61.830002,66.730003,66.730003,392576100
7/1/2023,67.120003,76.540001,65.629997,75.82,75.82,266592700
8/1/2023,76.190002,76.279999,57.290001,62.509998,62.509998,423860400
9/1/2023,63.130001,65.730003,56.529999,58.459999,58.459999,264905000
10/1/2023,58.619999,59.639999,50.25,51.799999,51.799999,311679500
11/1/2023,51.91,60.200001,51.095001,57.610001,57.610001,342003200
12/1/2023,57.630001,64.129997,57.32,61.41,61.41,334731700
1/1/2024,61.220001,68.209999,56.471001,61.349998,61.349998,442604300
2/1/2024,61.509998,64.900002,55.77,60.34,60.34,378261000
3/1/2024,60.529999,68.209999,57.869999,66.989998,66.989998,298153800
4/1/2024,67,70.662003,61.724998,67.919998,67.919998,257778900
5/1/2024,67,67.889999,60.849998,62.990002,62.990002,230517500
6/1/2024,63.040001,68.299004,57.209999,58.029999,58.029999,256822000
7/1/2024,58.360001,66.989998,56.970001,65.779999,65.779999,270887100
8/1/2024,65.779999,67.300003,58.650002,64.720001,64.720001,105835800
8/9/2024,64.800003,65.5,64.470001,64.720001,64.720001,8605324
